date,year,month,construction_employment,nonfarm_employment,construction_share
1985-01-01,1985,1,4668,96372,0.04843730544
1985-02-01,1985,2,4662,96503,0.04830937898
1985-03-01,1985,3,4730,96842,0.04884244439
1985-04-01,1985,4,4764,97038,0.04909416929
1985-05-01,1985,5,4787,97312,0.04919228872
1985-06-01,1985,6,4789,97459,0.04913861213
1985-07-01,1985,7,4799,97648,0.04914591185
1985-08-01,1985,8,4823,97840,0.04929476697
1985-09-01,1985,9,4852,98045,0.04948748024
1985-10-01,1985,10,4868,98233,0.04955564831
1985-11-01,1985,11,4879,98443,0.04956167528
1985-12-01,1985,12,4887,98609,0.04955937085
1986-01-01,1986,1,4908,98732,0.04971032695
1986-02-01,1986,2,4904,98847,0.04961202667
1986-03-01,1986,3,4914,98934,0.04966947662
1986-04-01,1986,4,4950,99121,0.04993896349
1986-05-01,1986,5,4924,99248,0.04961309044
1986-06-01,1986,6,4917,99155,0.04958902728
1986-07-01,1986,7,4930,99473,0.04956118746
1986-08-01,1986,8,4943,99588,0.04963449412
1986-09-01,1986,9,4939,99934,0.04942261893
1986-10-01,1986,10,4954,100121,0.04948012904
1986-11-01,1986,11,4960,100308,0.04944770108
1986-12-01,1986,12,4993,100509,0.04967714334
1987-01-01,1987,1,5007,100678,0.04973281154
1987-02-01,1987,2,5038,100919,0.04992122395
1987-03-01,1987,3,5039,101164,0.04981020917
1987-04-01,1987,4,5053,101499,0.04978374171
1987-05-01,1987,5,5080,101728,0.04993708713
1987-06-01,1987,6,5086,101900,0.04991167812
1987-07-01,1987,7,5092,102247,0.04980097216
1987-08-01,1987,8,5102,102420,0.04981448936
1987-09-01,1987,9,5096,102647,0.04964587372
1987-10-01,1987,10,5142,103138,0.04985553336
1987-11-01,1987,11,5152,103372,0.04983941493
1987-12-01,1987,12,5180,103661,0.04997057717
1988-01-01,1988,1,5094,103753,0.04909737550
1988-02-01,1988,2,5162,104214,0.04953269234
1988-03-01,1988,3,5201,104489,0.04977557446
1988-04-01,1988,4,5227,104732,0.04990833747
1988-05-01,1988,5,5228,104962,0.04980850212
1988-06-01,1988,6,5261,105326,0.04994968004
1988-07-01,1988,7,5270,105550,0.04992894363
1988-08-01,1988,8,5268,105674,0.04985142987
1988-09-01,1988,9,5270,106013,0.04971088451
1988-10-01,1988,10,5262,106276,0.04951258986
1988-11-01,1988,11,5273,106617,0.04945740360
1988-12-01,1988,12,5277,106898,0.04936481506
1989-01-01,1989,1,5289,107161,0.04935564244
1989-02-01,1989,2,5278,107427,0.04913103782
1989-03-01,1989,3,5260,107621,0.04887521952
1989-04-01,1989,4,5295,107791,0.04912283957
1989-05-01,1989,5,5299,107913,0.04910437111
1989-06-01,1989,6,5298,108027,0.04904329473
1989-07-01,1989,7,5317,108069,0.04920004812
1989-08-01,1989,8,5330,108120,0.04929707732
1989-09-01,1989,9,5323,108369,0.04911921306
1989-10-01,1989,10,5347,108476,0.04929200929
1989-11-01,1989,11,5364,108752,0.04932323084
1989-12-01,1989,12,5309,108836,0.04877981550
1990-01-01,1990,1,5422,109199,0.04965246934
1990-02-01,1990,2,5416,109435,0.04949056518
1990-03-01,1990,3,5392,109644,0.04917733757
1990-04-01,1990,4,5355,109686,0.04882118046
1990-05-01,1990,5,5321,109839,0.04844363113
1990-06-01,1990,6,5303,109856,0.04827228372
1990-07-01,1990,7,5274,109824,0.04802229021
1990-08-01,1990,8,5234,109616,0.04774850387
1990-09-01,1990,9,5197,109518,0.04745338666
1990-10-01,1990,10,5134,109367,0.04694286211
1990-11-01,1990,11,5095,109214,0.04665152819
1990-12-01,1990,12,5047,109166,0.04623234340
1991-01-01,1991,1,4972,109055,0.04559167393
1991-02-01,1991,2,4929,108734,0.04533080729
1991-03-01,1991,3,4881,108574,0.04495551421
1991-04-01,1991,4,4842,108364,0.04468273596
1991-05-01,1991,5,4800,108249,0.04434221101
1991-06-01,1991,6,4782,108334,0.04414126682
1991-07-01,1991,7,4752,108292,0.04388135781
1991-08-01,1991,8,4733,108310,0.04369864278
1991-09-01,1991,9,4728,108336,0.04364200266
1991-10-01,1991,10,4698,108357,0.04335668208
1991-11-01,1991,11,4640,108296,0.04284553446
1991-12-01,1991,12,4647,108328,0.04289749649
1992-01-01,1992,1,4667,108369,0.04306582141
